Species;AMNH;FMNH;iNaturalist;KU;MVZ;NHMUK;NMR;SMF;USNM;YPM
castaneus;76;180;7;4;56;9;1;0;1321;0
domesticus;0;0;0;0;0;0;9;0;0;193
molossinus;12;1;0;10;16;2;0;0;0;0
musculus;1521;2166;4691;962;11365;2372;48;2086;5156;244
spretus;0;3;33;0;211;78;0;63;536;3
